ampl.tab 1 8
GenID	Bus	Pgm	Pmax	Pmin	Pc2	Pc1	Pc0	FuelType
1	745	4.0333628	12.1	0	0.059172355	14.8788144	46.4995731	0
2	1804	0	71.2	0	0.082991653	44.9151794	1427.41303	0
3	1804	0	71.2	0	0.082991653	44.9151794	1427.41303	0
4	1964	0.366669117	1.1	0	0.078724432	14.8788144	34.6467874	0
5	1964	0.366669117	1.1	0	0.078724432	14.8788144	34.6467874	0
6	1964	0.366669117	1.1	0	0.078724432	14.8788144	34.6467874	0
7	1360	0.166667613	0.5	0	0.078724432	14.8788144	34.6467874	0
8	1360	0.166667613	0.5	0	0.078724432	14.8788144	34.6467874	0
9	1745	0.333335524	1	0	0.078724432	14.8788144	34.6467874	0
10	744	0.333335524	1	0	0.078724432	14.8788144	34.6467874	0
11	1587	0.466669881	1.4	0	0.078724432	14.8788144	34.6467874	0
12	8022	39.30029	117.9	0	0.019693715	14.8788144	138.645776	0
13	2220	11.0000809	33	0	0.073985797	14.8788144	36.8238805	0
14	2220	11.0000809	33	0	0.073985797	14.8788144	36.8238805	0
15	1748	13.3334314	40	0	0.061429747	14.8788144	44.2781598	0
16	8542	7.93339151	23.8	0	0.102178348	14.8788144	26.4292728	0
17	8542	8.33339446	25	0	0.101288764	14.8788144	27.9399979	0
18	8542	8.33339446	25	0	0.101288764	14.8788144	27.9399979	0
19	8542	20.1001481	60.3	0	0.04009894	14.8788144	68.1855659	0
20	8542	19.2001415	57.6	0	0.042766954	14.8788144	64.0300345	0
21	1743	4.0333628	12.1	0	0.059172355	14.8788144	46.4995731	0
22	1735	0.233334754	0.7	0	0.078724432	14.8788144	34.6467874	0
23	1735	0.233334754	0.7	0	0.078724432	14.8788144	34.6467874	0
24	8578	4.00002922	12	0	0.049901925	14.8788144	55.0498039	0
25	8578	4.00002922	12	0	0.049901925	14.8788144	55.0498039	0
26	8578	4.00002922	12	0	0.049901925	14.8788144	55.0498039	0
27	8578	4.40003218	13.2	0	0.049901925	14.8788144	55.0498039	0
28	744	7.33338707	22	0	0.111	14.8788144	24.5526988	0
29	106	3.33335758	10	0	0.120339515	14.8788144	22.3377955	0
30	106	3.33335758	10	0	0.120339515	14.8788144	22.3377955	0
31	7778	10.7667458	32.3	0	0.075886016	14.8788144	36.1349397	0
32	7778	11.700086	35.1	0	0.0694	14.8788144	39.3959214	0
33	7778	11.700086	35.1	0	0.0694	14.8788144	39.3959214	0
34	1634	22.5001659	67.5	0	0.036962208	14.8788144	75.8585367	0
35	1634	22.5001659	67.5	0	0.036962208	14.8788144	75.8585367	0
36	749	4.53336649	13.6	0	0.059172355	14.8788144	46.4995731	0
37	339	0.86667277	2.6	0	0.085772205	14.8788144	32.0494007	0
38	339	0.900006343	2.7	0	0.085772205	14.8788144	32.0494007	0
39	1286	3.33335761	10	0	0.074347899	14.8788144	36.540858	0
40	8427	3.33335761	10	0	0.074347899	14.8788144	36.540858	0
41	170	16.7001233	16.7	0	0.018728377	6.603145	74.6992503	0
42	170	16.7001233	16.7	0	0.018728377	6.603145	74.6992503	0
43	170	16.7001233	16.7	0	0.018728377	6.603145	74.6992503	0
44	170	16.7001233	16.7	0	0.018728377	6.603145	74.6992503	0
45	170	16.7001233	16.7	0	0.018728377	6.603145	74.6992503	0
46	170	16.7001233	16.7	0	0.018728377	6.603145	74.6992503	0
47	170	16.7001233	16.7	0	0.018728377	6.603145	74.6992503	0
48	170	16.7001233	16.7	0	0.018728377	6.603145	74.6992503	0
49	170	16.7001233	16.7	0	0.018728377	6.603145	74.6992503	0
50	170	16.7001233	16.7	0	0.018728377	6.603145	74.6992503	0
51	1746	2.53335168	7.6	0	0.104841048	14.8788144	26.2074855	0
52	1728	28.3668759	85.1	0	0.028656809	14.8788144	93.6100229	0
53	1728	27.8335386	83.5	0	0.028941569	14.8788144	92.6227225	0
54	1643	3.76669415	11.3	0	0.0723	14.8788144	37.8334767	0
55	1643	3.76669415	11.3	0	0.0723	14.8788144	37.8334767	0
56	1734	0.500003463	1.5	0	0.085772205	14.8788144	32.0494007	0
57	615	1.13334137	3.4	0	0.104841048	14.8788144	26.2074855	0
58	7971	181.82405	233	0	0.022715841	13.4742144	878.874372	0
59	7971	181.82405	233	0	0.022715841	13.4742144	878.874372	0
60	7971	181.82405	233	0	0.022715841	13.4742144	878.874372	0
61	7971	181.82405	233	0	0.022715841	13.4742144	878.874372	0
62	7971	181.82405	233	0	0.022715841	13.4742144	878.874372	0
63	7971	181.82405	233	0	0.022715841	13.4742144	878.874372	0
64	60	1.20000852	3.6	0	0.104841048	14.8788144	26.2074855	0
65	1448	0.53333704	1.6	0	0.104841048	14.8788144	26.2074855	0
66	8553	11.5334181	34.6	0	0.071284546	14.8788144	38.3182174	0
67	8553	11.5334181	34.6	0	0.071284546	14.8788144	38.3182174	0
68	1727	17.2334603	51.7	0	0.046889973	14.8788144	58.4255407	0
69	1727	17.2334603	51.7	0	0.046889973	14.8788144	58.4255407	0
70	1730	12.733427	38.2	0	0.064820939	14.8788144	42.9634433	0
71	1730	12.733427	38.2	0	0.064820939	14.8788144	42.9634433	0
72	1730	11.066748	33.2	0	0.072573362	14.8788144	37.387899	0
73	1730	10.6667451	32	0	0.077414674	14.8788144	35.1771382	0
74	1729	13.2000971	39.6	0	0.061662881	14.8788144	44.2065545	0
75	1729	13.2000971	39.6	0	0.061662881	14.8788144	44.2065545	0
76	1501	1.46667714	4.4	0	0.104841048	14.8788144	26.2074855	0
77	1501	0.666671338	2	0	0.104841048	14.8788144	26.2074855	0
78	1501	1.00000706	3	0	0.104841048	14.8788144	26.2074855	0
79	2220	21.0001548	63	0	0.038074342	14.8788144	70.2258381	0
80	2220	21.0001548	63	0	0.038074342	14.8788144	70.2258381	0
81	32	4.10002996	12.3	0	0.059172355	14.8788144	46.4995731	0
82	32	9.90007271	29.7	0	0.086915976	14.8788144	31.8308439	0
83	1745	2.23334946	6.7	0	0.104841048	14.8788144	26.2074855	0
84	746	2.3333502	7	0	0.104841048	14.8788144	26.2074855	0
