ampl.tab 1 4
BranchID	FromBus	ToBus	X	RateA
1	1	2	0.0139	175
2	1	3	0.2112	175
3	1	5	0.0845	175
4	2	4	0.1267	175
5	2	6	0.192	175
6	3	9	0.119	175
7	3	24	0.0839	400
8	4	9	0.1037	175
9	5	10	0.0883	175
10	6	10	0.0605	175
11	7	8	0.0614	175
12	8	9	0.1651	175
13	8	10	0.1651	175
14	9	11	0.0839	400
15	9	12	0.0839	400
16	10	11	0.0839	400
17	10	12	0.0839	400
18	11	13	0.0476	500
19	11	14	0.0418	500
20	12	13	0.0476	500
21	12	23	0.0966	500
22	13	23	0.0865	500
23	14	16	0.0389	500
24	15	16	0.0173	500
25	15	21	0.049	500
26	15	21	0.049	500
27	15	24	0.0519	500
28	16	17	0.0259	500
29	16	19	0.0231	500
30	17	18	0.0144	500
31	17	22	0.1053	500
32	18	21	0.0259	500
33	18	21	0.0259	500
34	19	20	0.0396	500
35	19	20	0.0396	500
36	20	23	0.0216	500
37	20	23	0.0216	500
38	21	22	0.0678	500
