ampl.tab 1 3
GenID	Pc2	Pc1	Pc0
1	0	130	400.6849
2	0	130	400.6849
3	0.014142	16.0811	212.3076
4	0.014142	16.0811	212.3076
5	0	130	400.6849
6	0	130	400.6849
7	0.014142	16.0811	212.3076
8	0.014142	16.0811	212.3076
9	0.052672	43.6615	781.521
10	0.052672	43.6615	781.521
11	0.052672	43.6615	781.521
12	0.00717	48.5804	832.7575
13	0.00717	48.5804	832.7575
14	0.00717	48.5804	832.7575
15	0	0	0
16	0.328412	56.564	86.3852
17	0.328412	56.564	86.3852
18	0.328412	56.564	86.3852
19	0.328412	56.564	86.3852
20	0.328412	56.564	86.3852
21	0.008342	12.3883	382.2391
22	0.008342	12.3883	382.2391
23	0.000213	4.4231	395.3749
24	0.000213	4.4231	395.3749
25	0	0.001	0.001
26	0	0.001	0.001
27	0	0.001	0.001
28	0	0.001	0.001
29	0	0.001	0.001
30	0	0.001	0.001
31	0.008342	12.3883	382.2391
32	0.008342	12.3883	382.2391
33	0.004895	11.8495	665.1094
