ampl.tab 3 1
BusID	Time	Scenario	Pd
1	1	Winter	86.1114301121329
2	1	Winter	84.1699699275264
3	1	Winter	82.1617218397329
4	1	Winter	81.7021583989505
5	1	Winter	83.2201874968769
6	1	Winter	86.9124289576261
7	1	Winter	94.1892751503676
8	1	Winter	99.840445803327
9	1	Winter	102.525156980115
10	1	Winter	101.815979236058
11	1	Winter	0
12	1	Winter	0
13	1	Winter	99.4105897058403
14	1	Winter	98.872266214706
15	1	Winter	97.466316879103
16	1	Winter	96.7359578361527
17	1	Winter	0
18	1	Winter	96.0398524780831
19	1	Winter	97.7510234373344
20	1	Winter	102.259849048164
21	1	Winter	0
22	1	Winter	0
23	1	Winter	0
24	1	Winter	0
1	2	Winter	107.588653696511
2	2	Winter	108.918204195234
3	2	Winter	107.044070946469
4	2	Winter	103.55536317486
5	2	Winter	101.21207491578
6	2	Winter	97.7169467772182
7	2	Winter	92.8431188424935
8	2	Winter	90.4026844618476
9	2	Winter	85.9150511037347
10	2	Winter	83.1190515960407
11	2	Winter	0
12	2	Winter	0
13	2	Winter	82.4543148667361
14	2	Winter	83.2701335598202
15	2	Winter	86.133906239724
16	2	Winter	90.114096395262
17	2	Winter	0
18	2	Winter	96.5081729418127
19	2	Winter	99.5858869214302
20	2	Winter	95.2691840410208
21	2	Winter	0
22	2	Winter	0
23	2	Winter	0
24	2	Winter	0
1	3	Winter	92.4377044545536
2	3	Winter	93.4090847395417
3	3	Winter	92.8377314245283
4	3	Winter	91.2484163619961
5	3	Winter	93.2006570047051
6	3	Winter	96.2011917318849
7	3	Winter	100.233045485984
8	3	Winter	106.584407884391
9	3	Winter	111.936582043831
10	3	Winter	115.708564710812
11	3	Winter	0
12	3	Winter	0
13	3	Winter	117.359427759492
14	3	Winter	115.218547294326
15	3	Winter	107.970353129138
16	3	Winter	100.513167204728
17	3	Winter	0
18	3	Winter	116.56110709707
19	3	Winter	109.307179837545
20	3	Winter	104.885005753048
21	3	Winter	0
22	3	Winter	0
23	3	Winter	0
24	3	Winter	0
1	4	Winter	102.547234436415
2	4	Winter	102.290592591185
3	4	Winter	104.982999758984
4	4	Winter	110.689551692319
5	4	Winter	121.530401327926
6	4	Winter	133.980394244762
7	4	Winter	139.779644043956
8	4	Winter	137.811704659014
9	4	Winter	139.287263455425
10	4	Winter	139.990717366264
11	4	Winter	0
12	4	Winter	0
13	4	Winter	142.87134161518
14	4	Winter	146.965494895594
15	4	Winter	151.591374034672
16	4	Winter	159.347112530324
17	4	Winter	0
18	4	Winter	161.190680811738
19	4	Winter	159.992532627497
20	4	Winter	157.008590983182
21	4	Winter	0
22	4	Winter	0
23	4	Winter	0
24	4	Winter	0
1	5	Winter	152.240630734843
2	5	Winter	145.309471802496
3	5	Winter	134.008017720769
4	5	Winter	124.787397747173
5	5	Winter	92.9092159281387
6	5	Winter	91.893790691991
7	5	Winter	89.6884814389177
8	5	Winter	88.0965397914512
9	5	Winter	86.5738051227058
10	5	Winter	89.2472876474776
11	5	Winter	0
12	5	Winter	0
13	5	Winter	95.4235083196314
14	5	Winter	103.7674694267
15	5	Winter	112.03299588994
16	5	Winter	113.283568706414
17	5	Winter	0
18	5	Winter	112.470110109123
19	5	Winter	108.824094551318
20	5	Winter	107.481893424232
21	5	Winter	0
22	5	Winter	0
23	5	Winter	0
24	5	Winter	0
1	6	Winter	108.654842454491
2	6	Winter	108.155602761185
3	6	Winter	112.90924458189
4	6	Winter	115.341293004765
5	6	Winter	120.072627186346
6	6	Winter	122.046019122032
7	6	Winter	120.187877399837
8	6	Winter	115.740084637038
9	6	Winter	111.645317619812
10	6	Winter	105.52624452085
11	6	Winter	0
12	6	Winter	0
13	6	Winter	99.3772384883352
14	6	Winter	77.3408214896008
15	6	Winter	75.5971026200932
16	6	Winter	73.7933983190194
17	6	Winter	0
18	6	Winter	73.3806422657241
19	6	Winter	74.7440572888617
20	6	Winter	78.0602371193494
21	6	Winter	0
22	6	Winter	0
23	6	Winter	0
24	6	Winter	0
1	7	Winter	84.5959230517191
2	7	Winter	89.6715115085437
3	7	Winter	92.0827798802881
4	7	Winter	91.4458332027559
5	7	Winter	89.2854370506159
6	7	Winter	88.8019428039489
7	7	Winter	87.539192011787
8	7	Winter	86.8832213898778
9	7	Winter	86.2580156516117
10	7	Winter	87.7949006798281
11	7	Winter	0
12	7	Winter	0
13	7	Winter	91.8444940525174
14	7	Winter	96.6305500792738
15	7	Winter	97.8246833975716
16	7	Winter	96.1414340908097
17	7	Winter	0
18	7	Winter	93.0080576663094
19	7	Winter	90.9034376558394
20	7	Winter	87.7642947906497
21	7	Winter	0
22	7	Winter	0
23	7	Winter	0
24	7	Winter	0
1	8	Winter	83.386875256684
2	8	Winter	81.1950036370298
3	8	Winter	77.1644440468729
4	8	Winter	74.6532222668144
5	8	Winter	74.0561902043834
6	8	Winter	74.7889162528014
7	8	Winter	77.3610083819743
8	8	Winter	80.9358087994483
9	8	Winter	86.6786368088503
10	8	Winter	89.4428799201734
11	8	Winter	0
12	8	Winter	0
13	8	Winter	85.5658412220279
14	8	Winter	83.0227530749231
15	8	Winter	83.8951964790328
16	8	Winter	83.3820365572152
17	8	Winter	0
18	8	Winter	81.954596176978
19	8	Winter	83.7079974949666
20	8	Winter	86.4029222036373
21	8	Winter	0
22	8	Winter	0
23	8	Winter	0
24	8	Winter	0
1	9	Winter	90.0241241864852
2	9	Winter	95.7285885628324
3	9	Winter	100.5356338727
4	9	Winter	103.923433119896
5	9	Winter	105.406152709914
6	9	Winter	103.483324884718
7	9	Winter	96.9733727178368
8	9	Winter	90.275714989432
9	9	Winter	104.689142485331
10	9	Winter	98.1740411503874
11	9	Winter	0
12	9	Winter	0
13	9	Winter	94.2022736856077
14	9	Winter	92.1026087067801
15	9	Winter	91.8721063087498
16	9	Winter	94.2902868205692
17	9	Winter	0
18	9	Winter	99.4156158718046
19	9	Winter	109.152304896378
20	9	Winter	120.334242979092
21	9	Winter	0
22	9	Winter	0
23	9	Winter	0
24	9	Winter	0
1	10	Winter	125.542828446886
2	10	Winter	123.775327332633
3	10	Winter	125.100597733113
4	10	Winter	125.732403560441
5	10	Winter	128.319630895115
6	10	Winter	131.996787082154
7	10	Winter	136.151511864474
8	10	Winter	143.117314031865
9	10	Winter	144.773111469802
10	10	Winter	143.696996896918
11	10	Winter	0
12	10	Winter	0
13	10	Winter	141.016975234895
14	10	Winter	136.734640567406
15	10	Winter	130.509433007797
16	10	Winter	120.359052952912
17	10	Winter	0
18	10	Winter	112.07757019885
19	10	Winter	83.4462402317542
20	10	Winter	82.5342379363252
21	10	Winter	0
22	10	Winter	0
23	10	Winter	0
24	10	Winter	0
1	11	Winter	80.5535435145835
2	11	Winter	79.1237440719516
3	11	Winter	77.7561027490969
4	11	Winter	80.1572861278271
5	11	Winter	85.7044472870763
6	11	Winter	93.19856050361
7	11	Winter	100.622227790039
8	11	Winter	101.745427449279
9	11	Winter	101.014821116527
10	11	Winter	97.740158995165
11	11	Winter	0
12	11	Winter	0
13	11	Winter	96.5346635384303
14	11	Winter	97.5881455378302
15	11	Winter	97.1397543318055
16	11	Winter	101.40922893003
17	11	Winter	0
18	11	Winter	103.593568717242
19	11	Winter	107.8430077507
20	11	Winter	109.615406063307
21	11	Winter	0
22	11	Winter	0
23	11	Winter	0
24	11	Winter	0
1	12	Winter	107.946519516521
2	12	Winter	103.951742683266
3	12	Winter	100.274035269646
