ampl.tab 3 1
BusID	Time	Scenario	WindPg
1	1	Winter	0
2	1	Winter	0
3	1	Winter	0
4	1	Winter	0
5	1	Winter	0
6	1	Winter	0
7	1	Winter	0
8	1	Winter	0
9	1	Winter	0
10	1	Winter	0
11	1	Winter	0
12	1	Winter	0
13	1	Winter	0
14	1	Winter	0
15	1	Winter	0
16	1	Winter	0
17	1	Winter	0
18	1	Winter	0
19	1	Winter	0
20	1	Winter	0
21	1	Winter	0
22	1	Winter	0
23	1	Winter	0
24	1	Winter	0
1	2	Winter	0
2	2	Winter	0
3	2	Winter	0
4	2	Winter	0
5	2	Winter	0
6	2	Winter	0
7	2	Winter	0
8	2	Winter	0
9	2	Winter	0
10	2	Winter	0
11	2	Winter	0
12	2	Winter	0
13	2	Winter	0
14	2	Winter	0
15	2	Winter	0
16	2	Winter	0
17	2	Winter	0
18	2	Winter	0
19	2	Winter	0
20	2	Winter	0
21	2	Winter	0
22	2	Winter	0
23	2	Winter	0
24	2	Winter	0
1	3	Winter	0
2	3	Winter	0
3	3	Winter	0
4	3	Winter	0
5	3	Winter	0
6	3	Winter	0
7	3	Winter	0
8	3	Winter	0
9	3	Winter	0
10	3	Winter	0
11	3	Winter	0
12	3	Winter	0
13	3	Winter	0
14	3	Winter	0
15	3	Winter	0
16	3	Winter	0
17	3	Winter	0
18	3	Winter	0
19	3	Winter	0
20	3	Winter	0
21	3	Winter	0
22	3	Winter	0
23	3	Winter	0
24	3	Winter	0
1	4	Winter	0
2	4	Winter	0
3	4	Winter	0
4	4	Winter	0
5	4	Winter	0
6	4	Winter	0
7	4	Winter	0
8	4	Winter	0
9	4	Winter	0
10	4	Winter	0
11	4	Winter	0
12	4	Winter	0
13	4	Winter	0
14	4	Winter	0
15	4	Winter	0
16	4	Winter	0
17	4	Winter	0
18	4	Winter	0
19	4	Winter	0
20	4	Winter	0
21	4	Winter	0
22	4	Winter	0
23	4	Winter	0
24	4	Winter	0
1	5	Winter	0
2	5	Winter	0
3	5	Winter	0
4	5	Winter	0
5	5	Winter	0
6	5	Winter	0
7	5	Winter	0
8	5	Winter	0
9	5	Winter	0
10	5	Winter	0
11	5	Winter	0
12	5	Winter	0
13	5	Winter	0
14	5	Winter	0
15	5	Winter	0
16	5	Winter	0
17	5	Winter	0
18	5	Winter	0
19	5	Winter	0
20	5	Winter	0
21	5	Winter	0
22	5	Winter	0
23	5	Winter	0
24	5	Winter	0
1	6	Winter	0
2	6	Winter	0
3	6	Winter	0
4	6	Winter	0
5	6	Winter	0
6	6	Winter	0
7	6	Winter	0
8	6	Winter	0
9	6	Winter	0
10	6	Winter	0
11	6	Winter	0
12	6	Winter	0
13	6	Winter	0
14	6	Winter	0
15	6	Winter	0
16	6	Winter	0
17	6	Winter	0
18	6	Winter	0
19	6	Winter	0
20	6	Winter	0
21	6	Winter	0
22	6	Winter	0
23	6	Winter	0
24	6	Winter	0
1	7	Winter	0
2	7	Winter	0
3	7	Winter	0
4	7	Winter	0
5	7	Winter	0
6	7	Winter	0
7	7	Winter	0
8	7	Winter	0
9	7	Winter	0
10	7	Winter	0
11	7	Winter	0
12	7	Winter	0
13	7	Winter	0
14	7	Winter	0
15	7	Winter	0
16	7	Winter	0
17	7	Winter	0
18	7	Winter	0
19	7	Winter	0
20	7	Winter	0
21	7	Winter	0
22	7	Winter	0
23	7	Winter	0
24	7	Winter	0
1	8	Winter	0
2	8	Winter	0
3	8	Winter	0.30381
4	8	Winter	0
5	8	Winter	0.20254
6	8	Winter	0
7	8	Winter	0.30381
8	8	Winter	0
9	8	Winter	0
10	8	Winter	0
11	8	Winter	0
12	8	Winter	0
13	8	Winter	0
14	8	Winter	0
15	8	Winter	0
16	8	Winter	0.20254
17	8	Winter	0
18	8	Winter	0
19	8	Winter	0
20	8	Winter	0
21	8	Winter	0.20254
22	8	Winter	0
23	8	Winter	0.60763
24	8	Winter	0
1	9	Winter	0
2	9	Winter	0
3	9	Winter	19.2499
4	9	Winter	0
5	9	Winter	12.8333
6	9	Winter	0
7	9	Winter	19.2499
8	9	Winter	0
9	9	Winter	0
10	9	Winter	0
11	9	Winter	0
12	9	Winter	0
13	9	Winter	0
14	9	Winter	0
15	9	Winter	0
16	9	Winter	12.8333
17	9	Winter	0
18	9	Winter	0
19	9	Winter	0
20	9	Winter	0
21	9	Winter	12.8333
22	9	Winter	0
23	9	Winter	38.4998
24	9	Winter	0
1	10	Winter	0
2	10	Winter	0
3	10	Winter	60.3419
4	10	Winter	0
5	10	Winter	40.228
6	10	Winter	0
7	10	Winter	60.3419
8	10	Winter	0
9	10	Winter	0
10	10	Winter	0
11	10	Winter	0
12	10	Winter	0
13	10	Winter	0
14	10	Winter	0
15	10	Winter	0
16	10	Winter	40.228
17	10	Winter	0
18	10	Winter	0
19	10	Winter	0
20	10	Winter	0
21	10	Winter	40.228
22	10	Winter	0
23	10	Winter	120.6839
24	10	Winter	0
1	11	Winter	0
2	11	Winter	0
3	11	Winter	67.1671
4	11	Winter	0
5	11	Winter	44.7781
6	11	Winter	0
7	11	Winter	67.1671
8	11	Winter	0
9	11	Winter	0
10	11	Winter	0
11	11	Winter	0
12	11	Winter	0
13	11	Winter	0
14	11	Winter	0
15	11	Winter	0
16	11	Winter	44.7781
17	11	Winter	0
18	11	Winter	0
19	11	Winter	0
20	11	Winter	0
21	11	Winter	44.7781
22	11	Winter	0
23	11	Winter	134.3342
24	11	Winter	0
1	12	Winter	0
2	12	Winter	0
3	12	Winter	64.6043
4	12	Winter	0
5	12	Winter	43.0695
6	12	Winter	0
7	12	Winter	64.6043
8	12	Winter	0
9	12	Winter	0
10	12	Winter	0
11	12	Winter	0
12	12	Winter	0
13	12	Winter	0
14	12	Winter	0
15	12	Winter	0
16	12	Winter	43.0695
17	12	Winter	0
18	12	Winter	0
19	12	Winter	0
20	12	Winter	0
21	12	Winter	43.0695
22	12	Winter	0
23	12	Winter	129.2086
24	12	Winter	0
1	13	Winter	0
2	13	Winter	0
3	13	Winter	68.2
4	13	Winter	0
5	13	Winter	45.4667
6	13	Winter	0
7	13	Winter	68.2
8	13	Winter	0
9	13	Winter	0
10	13	Winter	0
11	13	Winter	0
12	13	Winter	0
13	13	Winter	0
14	13	Winter	0
15	13	Winter	0
16	13	Winter	45.4667
17	13	Winter	0
18	13	Winter	0
19	13	Winter	0
20	13	Winter	0
21	13	Winter	45.4667
22	13	Winter	0
23	13	Winter	136.4
24	13	Winter	0
1	14	Winter	0
2	14	Winter	0
3	14	Winter	64.7826
4	14	Winter	0
5	14	Winter	43.1884
6	14	Winter	0
7	14	Winter	64.7826
8	14	Winter	0
9	14	Winter	0
10	14	Winter	0
11	14	Winter	0
12	14	Winter	0
13	14	Winter	0
14	14	Winter	0
15	14	Winter	0
16	14	Winter	43.1884
17	14	Winter	0
18	14	Winter	0
19	14	Winter	0
20	14	Winter	0
21	14	Winter	43.1884
22	14	Winter	0
23	14	Winter	129.5652
24	14	Winter	0
1	15	Winter	0
2	15	Winter	0
3	15	Winter	50.4798
4	15	Winter	0
5	15	Winter	33.6532
6	15	Winter	0
7	15	Winter	50.4798
8	15	Winter	0
9	15	Winter	0
10	15	Winter	0
11	15	Winter	0
12	15	Winter	0
13	15	Winter	0
14	15	Winter	0
15	15	Winter	0
16	15	Winter	33.6532
17	15	Winter	0
18	15	Winter	0
19	15	Winter	0
20	15	Winter	0
21	15	Winter	33.6532
22	15	Winter	0
23	15	Winter	100.9596
24	15	Winter	0
1	16	Winter	0
2	16	Winter	0
3	16	Winter	35.5178
4	16	Winter	0
5	16	Winter	23.6785
6	16	Winter	0
7	16	Winter	35.5178
8	16	Winter	0
9	16	Winter	0
10	16	Winter	0
11	16	Winter	0
12	16	Winter	0
13	16	Winter	0
14	16	Winter	0
15	16	Winter	0
16	16	Winter	23.6785
17	16	Winter	0
18	16	Winter	0
19	16	Winter	0
20	16	Winter	0
21	16	Winter	23.6785
22	16	Winter	0
23	16	Winter	71.0355
24	16	Winter	0
1	17	Winter	0
2	17	Winter	0
3	17	Winter	18.2125
4	17	Winter	0
5	17	Winter	12.1417
6	17	Winter	0
7	17	Winter	18.2125
8	17	Winter	0
9	17	Winter	0
10	17	Winter	0
11	17	Winter	0
12	17	Winter	0
13	17	Winter	0
14	17	Winter	0
15	17	Winter	0
16	17	Winter	12.1417
17	17	Winter	0
18	17	Winter	0
19	17	Winter	0
20	17	Winter	0
21	17	Winter	12.1417
22	17	Winter	0
23	17	Winter	36.4251
24	17	Winter	0
1	18	Winter	0
